id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.AUD.price,quote.AUD.volume_24h,quote.AUD.volume_change_24h,quote.AUD.percent_change_1h,quote.AUD.percent_change_24h,quote.AUD.percent_change_7d,quote.AUD.percent_change_30d,quote.AUD.percent_change_60d,quote.AUD.percent_change_90d,quote.AUD.market_cap,quote.AUD.market_cap_dominance,quote.AUD.fully_diluted_market_cap,quote.AUD.tvl,quote.AUD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271349448629.4,589519792189012.2,False,,11,,,,2024-06-19T03:29:00.000Z,2.8288150830240497e-05,712481466.8188605,-19.6944,0.40974232,5.46058758,-13.24942335,-20.98260687,-18.42642455,-30.97794667,16669396813.142183,0.4673,16676424798.86055,,2024-06-19T03:31:05.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-19 13:32:02.133951
5805,Avalanche,AVAX,avalanche,744,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393356436.02526313,442702806.02526313,False,,12,,,,2024-06-19T03:29:00.000Z,40.673700759283335,469659803.7064256,-30.2702,0.18674331,2.85108692,-13.94818067,-23.8730973,-22.54318493,-52.18582813,15999261970.629732,0.4485,29112149215.453167,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
1958,TRON,TRX,tron,992,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87264974684.61102,87264979546.88452,True,,13,71659659264.0,8316700140.04677,,2024-06-19T03:29:00.000Z,0.17416292783617857,417516233.5103956,-26.8313,0.18884249,1.53793659,-0.85581608,-4.45107651,5.65650863,-4.55225877,15198323488.621859,0.426,15198324335.443935,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1458690150.0771096,8580000938.952776,,2024-06-19T03:30:00.000Z,8.826808358415832,406446445.1400856,0.6781,0.14984801,2.73132578,-8.26646752,-15.36981969,-12.47486561,-38.34877331,12692539367.013147,0.3558,12692539367.017878,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
1975,Chainlink,LINK,chainlink,1796,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,587099970.4527867,1000000000.0,False,,15,,,,2024-06-19T03:29:00.000Z,21.457528798765324,642163098.5300794,-9.0557,0.21553489,4.63381133,-5.56281194,-14.89967389,1.88303166,-22.48103397,12597714523.744942,0.3531,21457528798.772633,,2024-06-19T03:31:05.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-19 13:32:02.133951
1,Bitcoin,BTC,bitcoin,11114,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19714259.0,19714259.0,False,,1,,,,2024-06-19T03:36:00.000Z,98175.83049026292,53037527531.371574,0.4422,0.2117434,-0.06559266,-2.9007346,-1.85920046,2.19715944,-2.87620749,1935463749825.1401,54.1428,2061692440295.5234,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
1027,Ethereum,ETH,ethereum,9069,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276014.91129717,122276014.91129717,True,,2,,,,2024-06-19T03:35:00.000Z,5328.446095016899,28721353555.444645,-7.402,0.44905976,3.47367731,1.37848944,14.9446699,16.20468736,0.53342906,651541154168.3296,18.2263,651541154168.33,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
825,Tether USDt,USDT,tether,88923,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112606076384.23582,116084537290.48198,True,,3,,,,2024-06-19T03:35:00.000Z,1.5007246756137478,102723640826.38934,-6.5198,0.02615797,0.0080866,-0.00048026,-0.01624822,-0.04624321,-0.02428235,168990717453.8692,4.7274,174210929569.03604,,2024-06-19T03:35:02.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-19 13:37:02.893978
1839,BNB,BNB,bnb,2183,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583919.46604127,147583919.46604127,False,,4,,,,2024-06-19T03:35:00.000Z,896.9536599123824,3026678022.5053277,-4.2064,0.3272552,0.58087627,-1.38245622,3.73905836,7.1806227,6.77412842,132375936709.28,3.7031,132375936709.27258,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
5426,Solana,SOL,solana,689,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,461907104.1056079,578472035.7131325,True,,5,,,,2024-06-19T03:35:00.000Z,210.62812045488036,4689119194.541676,-6.4232,0.70514681,4.40916068,-6.01616709,-18.54642145,-1.56027256,-27.26452491,97290625162.52095,2.7216,121842477617.97226,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
